PRICE_TRIGGER,TRADE_RATIO,MAX_POSITION_MULT,Total Return,Max Drawdown,Sharpe Ratio
0.03,0.03,1.5,-0.003024782443330709,-0.05221594278025943,0.048349160623748604
0.03,0.03,2.0,-0.0026093631800064854,-0.06327182529770059,0.061614138016136175
0.03,0.05,1.5,-0.002753257556302624,-0.07932353456676322,0.0826099136566762
0.03,0.05,2.0,-0.0025236447897576397,-0.1005561855506194,0.10401835872123572
0.03,0.1,1.5,-0.002809238861758323,-0.1340599520294684,0.13470646664135735
0.03,0.1,2.0,-0.0032086500122538997,-0.1690385594445203,0.1701856107056226
0.05,0.03,1.5,-0.0005973091821662724,-0.03957572139363952,0.02316022762890559
0.05,0.03,2.0,-0.0005435630885376463,-0.04062289146085096,0.02566953069488371
0.05,0.05,1.5,0.00020511112469012716,-0.06186605605745332,0.04529510223241985
0.05,0.05,2.0,-0.000855275719314319,-0.06892129237986033,0.04316533528686319
0.05,0.1,1.5,9.444875934572217e-05,-0.10061462196161464,0.0718130503799895
0.05,0.1,2.0,-0.0012551953731774201,-0.12538218211030228,0.0809832825984254
0.07,0.03,1.5,0.0010779984361435346,-0.027622414860419386,0.033599854760520124
0.07,0.03,2.0,-0.00037752997617945816,-0.02701619623728846,0.010854343452848903
0.07,0.05,1.5,0.00035713438250306595,-0.04520696106960831,0.026990393598148116
0.07,0.05,2.0,-0.0015222484849748419,-0.047006132596556616,0.007566208090463779
0.07,0.1,1.5,-0.0008857419022653135,-0.07398387233664572,0.03216791664527686
0.07,0.1,2.0,-0.000610329481213201,-0.08698519714488429,0.04125750015660985
